section_id,title,description,url,provider,interactivity,difficulty
3.2.1.1,3.2.1.1 Constituents of the atom,PhET - Build an Atom,https://phet.colorado.edu/sims/html/build-an-atom/latest/build-an-atom_en.html,,,
3.2.1.2,3.2.1.2 Stable and unstable nuclei,PhET - Alpha Decay,https://phet.colorado.edu/en/simulations/alpha-decay,,,
3.2.1.3,3.2.1.2 Stable and unstable nuclei,PhET - Beta Decay,https://phet.colorado.edu/en/simulations/beta-decay,,,
3.2.1.3,"3.2.1.3 Particles, antiparticles and photons",Visualizing Annihilation - https,//www. लार्स् ge-hadron-collider.com/visualizing-annihilation-and-pair-production/ (Note: This is an illustrative article with diagrams rather than an interactive simulation),,,
3.2.1.4,3.2.1.4 Particle interactions,Feynman Diagram Simulator - https,//www.particle-physics.org/feynman-diagram-simulator/,,,
3.2.1.5,3.2.1.5 Classification of particles,The Particle Zoo - https,//www.particlezoo.net/ (Interactive chart),,,
3.2.1.6,3.2.1.6 Quarks and antiquarks,Quark Content of Hadrons - https,//www.walter-fendt.de/html5/phen/quark_en.htm,,,
3.2.2.1,3.2.2.1 The photoelectric effect,PhET - Photoelectric Effect,https://phet.colorado.edu/en/simulations/photoelectric-effect,,,
3.2.2.2,3.2.2.2 Collisions of electrons with atoms,PhET - Neon Lights & Other Discharge Lamps,https://phet.colorado.edu/en/simulations/neon-lights-and-other-discharge-lamps,,,
3.2.2.3,3.2.2.3 Energy levels and photon emission,PhET - Models of the Hydrogen Atom,https://phet.colorado.edu/en/simulations/models-of-the-hydrogen-atom,,,
3.2.2.4,3.2.2.4 Wave-particle duality,PhET - Davisson-Germer,Electron Diffraction: https://phet.colorado.edu/en/simulations/davisson-germer-electron-diffraction,,,
3.3.1.1,3.3.1.1 Progressive waves,PhET - Wave on a String,https://phet.colorado.edu/en/simulations/wave-on-a-string,,,
3.3.1.2,3.3.1.2 Longitudinal and transverse waves,OPhysics - Polarization Simulation,https://ophysics.com/em7.html,,,
3.3.1.3,3.3.1.3 Principle of superposition of waves and formation of stationary waves,Walter Fendt - Formation of a Stationary Wave,https://www.walter-fendt.de/html5/phen/standingwavereflection_en.htm,,,
3.3.1.4,3.3.1.3 Principle of superposition of waves and formation of stationary waves,PhET - Wave on a String (can be used to demonstrate standing waves),https://phet.colorado.edu/en/simulations/wave-on-a-string,,,
3.3.2.1,3.3.2.1 Interference,PhET - Wave Interference,https://phet.colorado.edu/en/simulations/wave-interference (Can be used for double-slit interference),,,
3.3.2.2,3.3.2.2 Diffraction,PhET - Wave Interference,https://phet.colorado.edu/en/simulations/wave-interference (Can be used for single-slit and grating diffraction),,,
3.3.2.3,3.3.2.3 Refraction at a plane surface,PhET - Bending Light,https://phet.colorado.edu/en/simulations/bending-light,,,
3.4.1.1,3.4.1.1 Scalars and vectors,PhET - Vector Addition,https://phet.colorado.edu/en/simulations/vector-addition,,,
3.4.1.2,3.4.1.2 Moments,PhET - Balancing Act,https://phet.colorado.edu/sims/html/balancing-act/latest/balancing-act_en.html,,,
3.4.1.3,3.4.1.3 Motion along a straight line,The Moving Man (PhET),https://phet.colorado.edu/en/simulations/the-moving-man,,,
3.4.1.4,3.4.1.4 Projectile motion,PhET - Projectile Motion,https://phet.colorado.edu/en/simulations/projectile-motion,,,
3.4.1.5,3.4.1.5 Newton's laws of motion,PhET - Forces and Motion,Basics: https://phet.colorado.edu/en/simulations/forces-and-motion-basics,,,
3.4.1.6,3.4.1.6 Momentum,PhET - Collision Lab,https://phet.colorado.edu/en/simulations/collision-lab,,,
3.4.1.7,"3.4.1.7 Work, energy and power",PhET - Energy Skate Park,https://phet.colorado.edu/en/simulations/energy-skate-park,,,
3.4.1.8,3.4.1.8 Conservation of energy,PhET - Energy Skate Park,https://phet.colorado.edu/en/simulations/energy-skate-park,,,
3.4.2.1,3.4.2.1 Bulk properties of solids,PhET - Masses & Springs,https://phet.colorado.edu/en/simulations/masses-and-springs,,,
3.4.2.2,3.4.2.2 The Young modulus,Amrita Virtual Lab - Young's Modulus,https://vlab.amrita.edu/?sub=1&brch=74&sim=189&cnt=1,,,
3.5.1.1,3.5.1.1 Basics of electricity,PhET - Ohm's Law,https://phet.colorado.edu/en/simulations/ohms-law,,,
3.5.1.2,3.5.1.1 Basics of electricity,PhET - Circuit Construction Kit,DC: https://phet.colorado.edu/en/simulations/circuit-construction-kit-dc,,,
3.5.1.2,3.5.1.2 Current-voltage characteristics,PhET - Circuit Construction Kit,DC (Use to build circuits with lamps and observe non-ohmic behaviour): https://phet.colorado.edu/en/simulations/circuit-construction-kit-dc,,,
3.5.1.3,3.5.1.3 Resistivity,PhET - Resistance in a Wire,https://phet.colorado.edu/en/simulations/resistance-in-a-wire,,,
3.5.1.4,3.5.1.4 Circuits,PhET - Circuit Construction Kit,DC: https://phet.colorado.edu/en/simulations/circuit-construction-kit-dc,,,
3.5.1.5,3.5.1.5 Potential divider,Falstad Circuit Simulator (Can be used to build and analyse potential divider circuits),https://www.falstad.com/circuit/,,,
3.5.1.6,3.5.1.6 Electromotive force and internal resistance,PhET - Circuit Construction Kit,DC (Battery properties can be adjusted to include internal resistance): https://phet.colorado.edu/en/simulations/circuit-construction-kit-dc,,,
