section_id,topic_id,section_name,section_title,section_paper,section_icon,topic_title,topic_prompt,learning_objectives,examples
,3.7.2.1a,gravitational_fields,3.7.2 Gravitational Fields,Paper 2,globe,Newton's law of gravitation,Can you state Newton's law of universal gravitation and use the formula F = -Gm₁m₂/r² to calculate the force between two point masses?,State Newton's law of universal gravitation|Apply F = Gm₁m₂/r²|Understand inverse square relationship|Calculate gravitational forces,F = Gm₁m₂/r²|G = 6.67×10⁻¹¹ N⋅m²/kg²|Force proportional to masses|Force inversely proportional to r²
,3.7.2.2a,gravitational_fields,3.7.2 Gravitational Fields,Paper 2,globe,Gravitational field strength,Can you define gravitational field strength (g) and use the equations g = F/m and g = GM/r² for a radial field?,Define gravitational field strength|Apply g = F/m|Apply g = GM/r²|Understand field concept,g = gravitational field strength (N/kg)|g = F/m = GM/r²|Field strength at Earth's surface ≈ 9.81 N/kg|Vector quantity pointing toward mass
,3.7.2.2b,gravitational_fields,3.7.2 Gravitational Fields,Paper 2,globe,Field line representation,"Can you draw the gravitational field lines for a uniform field and a radial field (e.g., around a planet)?",Draw uniform field lines|Draw radial field lines|Understand field line properties|Relate density to field strength,"Uniform field: parallel, equally spaced lines|Radial field: lines pointing inward to mass|Line density ∝ field strength|Lines never cross"
,3.7.2.3a,gravitational_fields,3.7.2 Gravitational Fields,Paper 2,globe,Gravitational potential,Can you define gravitational potential (V) as the work done per unit mass to move an object from infinity to a point in the field? Can you use V = -GM/r?,Define gravitational potential|Apply V = -GM/r|Understand reference at infinity|Calculate potential values,V = work done per unit mass from ∞|V = -GM/r|Always negative (attractive field)|Zero at infinite distance
,3.7.2.3b,gravitational_fields,3.7.2 Gravitational Fields,Paper 2,globe,Potential difference,Can you calculate the work done (W = mΔV) in moving a mass between two points in a gravitational field?,Calculate work done in field|Apply W = mΔV|Understand potential difference|Solve energy problems,W = mΔV = m(V₂ - V₁)|Work against field = positive|Work with field = negative|Independent of path taken
,3.7.2.3c,gravitational_fields,3.7.2 Gravitational Fields,Paper 2,globe,Field-potential relationship,"Do you understand the relationship between gravitational field strength and potential, g = -ΔV/Δr, and that g is the gradient of the V-r graph?",Apply g = -ΔV/Δr|Understand gradient relationship|Interpret V-r graphs|Calculate field from potential,g = -ΔV/Δr = -gradient of V-r graph|Negative gradient → positive field|Steeper gradient → stronger field|Field points in direction of decreasing potential
,3.7.2.4a,gravitational_fields,3.7.2 Gravitational Fields,Paper 2,globe,Orbital motion,Can you derive Kepler's third law (T² ∝ r³) by equating the gravitational force with the centripetal force for an orbiting satellite?,Derive Kepler's third law|Equate gravitational and centripetal forces|Apply to orbital motion|Understand T² ∝ r³ relationship,GMm/r² = mv²/r → GM/r = v²|v = 2πr/T → GM/r = 4π²r²/T²|T² = 4π²r³/GM|T² ∝ r³ (Kepler's third law)
,3.7.2.4b,gravitational_fields,3.7.2 Gravitational Fields,Paper 2,globe,Satellite energies,"Can you calculate the orbital speed, kinetic energy, potential energy, and total energy of a satellite in a circular orbit?",Calculate orbital speed|Calculate kinetic energy|Calculate potential energy|Calculate total energy,v = √(GM/r)|KE = ½mv² = GMm/2r|PE = -GMm/r|Total E = KE + PE = -GMm/2r
,3.7.2.4c,gravitational_fields,3.7.2 Gravitational Fields,Paper 2,globe,Escape velocity,Can you define and calculate the escape velocity of an object from a gravitational field?,Define escape velocity|Derive escape velocity formula|Calculate escape velocities|Understand energy requirements,Minimum velocity to escape gravitational field|Total energy = 0 at escape|v_escape = √(2GM/r)|Independent of mass of escaping object
,3.7.2.4d,gravitational_fields,3.7.2 Gravitational Fields,Paper 2,globe,Geostationary orbits,"Can you describe the properties and uses of geostationary satellites (e.g., orbital period of 24 hours, orbit above the equator)?",Describe geostationary orbit properties|Explain orbital period requirement|Understand orbital radius|List applications,"Orbital period = 24 hours|Orbit above equator|Altitude ≈ 36,000 km|Used for communications, weather"
