section_id,topic_id,section_name,section_title,section_paper,section_icon,topic_title,topic_prompt,learning_objectives,examples
,3.4.1.1a,vectors_scalars,3.4.1a Vectors & Scalars,Paper 1,target,Scalars vs vectors,"Can you clearly distinguish between scalar quantities (magnitude only) and vector quantities (magnitude and direction)? Can you provide examples of each (e.g., speed vs velocity)?",Define scalar quantities|Define vector quantities|Provide examples of each|Understand the distinction,"Scalars: mass, time, temperature, energy|Vectors: displacement, velocity, force, momentum|Speed (scalar) vs velocity (vector)|Distance (scalar) vs displacement (vector)"
,3.4.1.1b,vectors_scalars,3.4.1a Vectors & Scalars,Paper 1,target,Vector addition,"Are you able to add two or more vectors, either by using a scale drawing (tip-to-tail method) or by calculation (e.g., using trigonometry for perpendicular vectors)?",Use tip-to-tail method|Apply trigonometry for perpendicular vectors|Calculate resultant magnitude and direction|Resolve vectors into components,Tip-to-tail: place vectors end-to-end|Perpendicular: R = √(A² + B²)|Angle: tan(θ) = B/A|Parallelogram law equivalent
,3.4.1.1c,vectors_scalars,3.4.1a Vectors & Scalars,Paper 1,target,Vector resolution,"Can you resolve a vector into two perpendicular components? For example, can you find the horizontal and vertical components of a velocity vector at an angle?",Resolve vectors into components|Use trigonometry for resolution|Apply to force and velocity problems|Understand component addition,Horizontal: Vₓ = V cos(θ)|Vertical: Vᵧ = V sin(θ)|Components are perpendicular|Original vector: V = √(Vₓ² + Vᵧ²)
,3.4.1.1d,vectors_scalars,3.4.1a Vectors & Scalars,Paper 1,target,Equilibrium conditions,"For an object in equilibrium, can you state and apply the two conditions: the net force is zero, and the net moment about any point is zero?",State conditions for equilibrium|Apply ΣF = 0 condition|Apply Σmoments = 0 condition|Solve equilibrium problems,Translational equilibrium: ΣF = 0|Rotational equilibrium: Σmoments = 0|Both must be satisfied|Choose convenient pivot point
,3.4.1.2a,mechanics_moments,3.4.1b Moments,Paper 1,target,Moment definition,Can you define the moment of a force and calculate it using the formula: moment = force × perpendicular distance from the pivot?,Define moment of a force|Calculate moments|Understand perpendicular distance|Apply to real situations,Moment = Force × perpendicular distance|Units: N⋅m or J|Clockwise: negative|Anticlockwise: positive
,3.4.1.2b,mechanics_moments,3.4.1b Moments,Paper 1,target,Couples,Do you understand what a couple is (a pair of equal and opposite forces not acting along the same line)? Can you calculate the torque of a couple?,Define a couple|Calculate torque of a couple|Understand couple properties|Apply to real examples,"Couple: two equal, opposite, parallel forces|Torque = Force × perpendicular separation|Torque independent of pivot point|Steering wheel creates couples"
,3.4.1.2c,mechanics_moments,3.4.1b Moments,Paper 1,target,Principle of moments,"Can you state and apply the principle of moments (for equilibrium, the sum of clockwise moments equals the sum of anticlockwise moments) to solve problems with levers and beams?",State principle of moments|Apply to lever problems|Solve beam equilibrium problems|Choose appropriate pivot points,Σclockwise moments = Σanticlockwise moments|For equilibrium about any point|Levers: effort × effort arm = load × load arm|Choose pivot to eliminate unknown forces
,3.4.1.2d,mechanics_moments,3.4.1b Moments,Paper 1,target,Centre of mass,Can you define the centre of mass of an object? Can you explain how to find the centre of mass of a simple shape experimentally?,Define centre of mass|Understand centre of mass properties|Explain experimental methods|Apply to irregular shapes,Point where mass appears to be concentrated|Point of balance for uniform objects|Experimental: suspend from different points|Intersection of vertical lines
,3.4.1.3a,motion_kinematics,3.4.1c Motion & Kinematics,Paper 1,target,Kinematic definitions,"Can you define and distinguish between the key kinematic quantities: displacement, distance, velocity, speed, and acceleration?",Define displacement vs distance|Define velocity vs speed|Define acceleration|Understand vector vs scalar nature,Displacement: vector from start to end|Distance: total path length|Velocity: rate of change of displacement|Speed: magnitude of velocity
,3.4.1.3b,motion_kinematics,3.4.1c Motion & Kinematics,Paper 1,target,Motion graphs,"Can you interpret and draw displacement-time, velocity-time, and acceleration-time graphs? Can you calculate gradient and area under the graph where appropriate (e.g., area under v-t graph is displacement)?",Interpret displacement-time graphs|Interpret velocity-time graphs|Calculate gradients and areas|Relate graphs to motion,s-t graph: gradient = velocity|v-t graph: gradient = acceleration|v-t graph: area = displacement|Curved lines show changing gradients
