section_id,topic_id,section_name,section_title,section_paper,section_icon,topic_title,topic_prompt,learning_objectives,examples
,3.8.1.1a,nuclear_radioactivity,3.8a Radioactivity,Paper 2,shield,Rutherford scattering,Can you describe the Rutherford alpha-particle scattering experiment and explain how its results led to the nuclear model of the atom?,Describe Rutherford's experiment|Explain unexpected results|Understand nuclear model implications|Compare with plum pudding model,"Alpha particles fired at gold foil|Most passed through, few scattered|Large angle scattering unexpected|Led to nuclear model of atom"
,3.8.1.2a,nuclear_radioactivity,3.8a Radioactivity,Paper 2,shield,Radiation properties,"Can you compare the nature, penetration power, and ionising ability of alpha (α), beta (β), and gamma (γ) radiation?",Compare radiation types|Understand penetration power|Compare ionising ability|Relate to applications,"Alpha: helium nuclei, low penetration, high ionisation|Beta: electrons, medium penetration, medium ionisation|Gamma: EM radiation, high penetration, low ionisation|Stopped by paper/skin, aluminum, lead respectively"
,3.8.1.2b,nuclear_radioactivity,3.8a Radioactivity,Paper 2,shield,Inverse square law,Can you explain and apply the inverse square law for gamma radiation (I = k/x²)?,Explain inverse square law|Apply I = k/x²|Understand distance dependence|Calculate intensity changes,I = k/x² (intensity ∝ 1/distance²)|Point source assumption|Double distance → quarter intensity|Used for radiation safety
,3.8.1.2c,nuclear_radioactivity,3.8a Radioactivity,Paper 2,shield,Background radiation,Can you describe the main sources of background radiation and explain how to correct for it in experiments?,Identify background radiation sources|Explain correction methods|Understand measurement importance|Apply to radiation experiments,"Cosmic rays, radon gas, medical procedures|Nuclear weapons testing, nuclear accidents|Subtract background from measurements|Measure background without source present"
,3.8.1.3a,nuclear_radioactivity,3.8a Radioactivity,Paper 2,shield,Random decay,Can you explain that radioactive decay is a spontaneous and random process? What does this mean on a macroscopic and microscopic level?,Explain spontaneous decay|Understand random nature|Distinguish macro vs micro behavior|Relate to probability,Cannot predict when individual nucleus decays|Probability constant for each nucleus|Large numbers → predictable average behavior|Exponential decay law for large samples
,3.8.1.3b,nuclear_radioactivity,3.8a Radioactivity,Paper 2,shield,Decay equation,Can you use the exponential decay equation N = N₀e^(-λt) to solve problems involving the number of undecayed nuclei?,Apply N = N₀e^(-λt)|Understand decay constant|Calculate undecayed nuclei|Solve decay problems,N = N₀e^(-λt)|λ = decay constant (s⁻¹)|Exponential decrease with time|N₀ = initial number of nuclei
,3.8.1.3c,nuclear_radioactivity,3.8a Radioactivity,Paper 2,shield,Activity,Can you define activity (A) and the decay constant (λ)? Can you use the equation A = λN?,Define activity|Define decay constant|Apply A = λN|Understand activity units,A = rate of decay (disintegrations/second)|Units: Becquerels (Bq) = s⁻¹|A = λN = λN₀e^(-λt)|Activity decreases exponentially
,3.8.1.3d,nuclear_radioactivity,3.8a Radioactivity,Paper 2,shield,Half-life,Can you define half-life (T½) and use the relationship T½ = ln(2)/λ to solve problems?,Define half-life|Apply T½ = ln(2)/λ|Use half-life in calculations|Understand practical significance,T½ = time for half to decay|T½ = ln(2)/λ ≈ 0.693/λ|Independent of initial amount|Characteristic of each isotope
,3.8.1.4a,nuclear_structure_energy,3.8.1b Nuclear Structure & Energy,Paper 2,shield,Nuclear stability,Can you interpret the N-Z graph of stable nuclei and explain the shape of the curve in terms of the forces acting within the nucleus?,Interpret N-Z graph|Understand stability curve|Explain curve shape|Relate to nuclear forces,N = Z for light nuclei|N > Z for heavy nuclei|Curve due to Coulomb repulsion|Strong force range limitation
,3.8.1.4b,nuclear_structure_energy,3.8.1b Nuclear Structure & Energy,Paper 2,shield,Decay modes,"Can you use the N-Z graph to predict the likely decay mode (α, β⁻, β⁺, or electron capture) for an unstable nucleus?",Predict decay modes from N-Z graph|Understand alpha decay region|Understand beta decay regions|Apply to specific nuclei,Above curve: β⁻ decay (n → p)|Below curve: β⁺ decay or electron capture|Heavy nuclei: α decay|Move toward stability curve
