section_id,topic_id,section_name,section_title,section_paper,section_icon,topic_title,topic_prompt,learning_objectives,examples
,3.2.1.1a,atomic_structure,3.2.1 Atomic Structure & Particles,Paper 1,atom,"Proton, neutron, electron properties","Can you state the relative mass and charge of protons, neutrons, and electrons? Do you know their values in SI units (kg and C)?","State relative masses of proton, neutron, electron|State relative charges of proton, neutron, electron|Know actual masses in kg|Know actual charges in Coulombs","Proton: mass ≈ 1u, charge = +1e = +1.6×10⁻¹⁹ C|Neutron: mass ≈ 1u, charge = 0|Electron: mass ≈ 1/1836 u, charge = -1e = -1.6×10⁻¹⁹ C|1u = 1.66×10⁻²⁷ kg"
,3.2.1.1b,atomic_structure,3.2.1 Atomic Structure & Particles,Paper 1,atom,Specific charge calculations,"Can you calculate the specific charge (charge-to-mass ratio, Q/m) for fundamental particles, ions, and atomic nuclei?",Define specific charge (Q/m)|Calculate specific charge for electrons|Calculate specific charge for protons|Calculate specific charge for ions and nuclei,Electron: e/mₑ = 1.76×10¹¹ C/kg|Proton: e/mₚ = 9.58×10⁷ C/kg|Alpha particle: 2e/4u = 4.8×10⁷ C/kg|Ion: depends on charge and mass
,3.2.1.1c,atomic_structure,3.2.1 Atomic Structure & Particles,Paper 1,atom,Nuclide notation and isotopes,Can you interpret and use the ᴬ𝑍X notation to determine the number of protons and neutrons in a nucleus? Can you define an isotope?,Interpret nuclide notation ᴬ𝑍X|Find number of protons from Z|Find number of neutrons from A-Z|Define isotopes and give examples,"¹²₆C: 6 protons, 6 neutrons|¹⁴₆C: 6 protons, 8 neutrons|Isotopes: same Z, different A|Carbon-12 and Carbon-14 are isotopes"
,3.2.1.2a,atomic_structure,3.2.1 Atomic Structure & Particles,Paper 1,atom,Strong nuclear force,"Can you describe the properties of the strong nuclear force, including its short range of action (attractive from ~3 fm to 0.5 fm, repulsive below 0.5 fm) and its role in holding the nucleus together?",Describe range of strong nuclear force|Explain attractive nature at 0.5-3 fm|Explain repulsive nature below 0.5 fm|Relate to nuclear stability,Range: ~3 fm (3×10⁻¹⁵ m)|Attractive: 0.5-3 fm separation|Repulsive: <0.5 fm separation|Overcomes electrostatic repulsion in nucleus
,3.2.1.2b,atomic_structure,3.2.1 Atomic Structure & Particles,Paper 1,atom,Alpha decay equations,"Can you write and balance nuclear equations for alpha (α) decay, showing the changes in proton and nucleon numbers?",Write alpha decay equations|Balance mass numbers (A)|Balance atomic numbers (Z)|Identify daughter nuclei,²³⁸U → ²³⁴Th + ⁴He (α)|²²⁶Ra → ²²²Rn + ⁴He|Mass number decreases by 4|Atomic number decreases by 2
,3.2.1.2c,atomic_structure,3.2.1 Atomic Structure & Particles,Paper 1,atom,Beta decay and neutrinos,Can you write and balance nuclear equations for beta-minus (β⁻) decay? Can you explain why the existence of the neutrino was hypothesised?,Write beta-minus decay equations|Balance nuclear equations for β⁻ decay|Explain neutrino hypothesis|Relate to energy and momentum conservation,¹⁴C → ¹⁴N + e⁻ + ν̄ₑ|n → p + e⁻ + ν̄ₑ|Mass number unchanged|Atomic number increases by 1
,3.2.1.3a,atomic_structure,3.2.1 Atomic Structure & Particles,Paper 1,atom,Antiparticles,"For every particle, there's an antiparticle with the same mass but opposite charge. Can you name the antiparticles for the electron, proton, neutron, and neutrino?",Define antiparticles|Name antiparticles for fundamental particles|Compare properties of particles and antiparticles|Understand matter-antimatter symmetry,Electron → positron (e⁺)|Proton → antiproton (p̄)|Neutron → antineutron (n̄)|Neutrino → antineutrino (ν̄)
,3.2.1.3b,atomic_structure,3.2.1 Atomic Structure & Particles,Paper 1,atom,Photon energy equations,"Can you use the photon energy equations, E = hf and E = hc/λ, to calculate the energy, frequency, or wavelength of a photon? This includes understanding the constants h and c.","Use E = hf for photon energy calculations|Use E = hc/λ for energy-wavelength relations|Know values of h and c|Convert between energy, frequency, and wavelength","h = 6.63×10⁻³⁴ J⋅s (Planck's constant)|c = 3.00×10⁸ m/s (speed of light)|Red light: λ = 700 nm, E = 1.8 eV|X-rays: higher energy, shorter wavelength"
,3.2.1.3c,atomic_structure,3.2.1 Atomic Structure & Particles,Paper 1,atom,Annihilation and pair production,Can you describe the processes of pair production (a photon creating a particle-antiparticle pair) and annihilation (a particle and antiparticle meeting to produce photons)? Can you calculate the minimum photon energy for pair production?,Describe pair production process|Describe annihilation process|Calculate minimum energy for pair production|Apply conservation of energy and momentum,e⁺ + e⁻ → 2γ (annihilation)|γ → e⁺ + e⁻ (pair production)|Minimum energy: 2mₑc² = 1.02 MeV|Usually produces 2 photons for momentum conservation
,3.2.1.4a,particle_interactions,3.2.1 Particle Physics & Interactions,Paper 1,atom,Four fundamental interactions,"Can you name the four fundamental interactions (gravity, electromagnetic, weak nuclear, strong nuclear) and state their relative strengths and ranges?",Name the four fundamental forces|State relative strengths of forces|Compare ranges of forces|Give examples of each force in action,"Strong: strongest, ~10⁻¹⁵ m range|Electromagnetic: 10⁻² relative strength, infinite range|Weak: 10⁻⁶ relative strength, ~10⁻¹⁸ m range|Gravity: weakest, infinite range"
