section_id,topic_id,section_name,section_title,section_paper,section_icon,topic_title,topic_prompt,learning_objectives,examples
,3.3.1.1a,waves_properties,3.3.1a Wave Properties,Paper 1,waves,Wave equation c = fλ,Can you use the wave speed equation (v = fλ) and the relationship between frequency and period (f = 1/T) to solve problems for various types of waves?,"Apply wave speed equation v = fλ|Use frequency-period relationship f = 1/T|Solve for wave speed, frequency, or wavelength|Apply to different wave types","Sound in air: v = 340 m/s|Light in vacuum: c = 3×10⁸ m/s|Radio waves: f = 100 MHz, λ = 3 m|Period and frequency are reciprocals"
,3.3.1.1b,waves_properties,3.3.1a Wave Properties,Paper 1,waves,Amplitude and phase,"Can you define amplitude, wavelength, frequency, and period? Can you explain phase difference in terms of degrees and radians and identify points that are in phase or antiphase?","Define amplitude, wavelength, frequency, period|Explain phase difference concept|Convert between degrees and radians|Identify in-phase and antiphase points",Amplitude: maximum displacement|Phase difference: 2π rad = 360°|In phase: same displacement and direction|Antiphase: π rad = 180° phase difference
,3.3.1.2a,waves_properties,3.3.1a Wave Properties,Paper 1,waves,Transverse vs longitudinal,Can you distinguish between transverse waves (oscillations perpendicular to energy transfer) and longitudinal waves (oscillations parallel to energy transfer) and provide examples of each?,Define transverse waves|Define longitudinal waves|Give examples of each type|Explain direction of oscillations,"Transverse: light, water waves, guitar string|Longitudinal: sound, compression waves|Transverse: oscillations ⊥ to wave direction|Longitudinal: oscillations ∥ to wave direction"
,3.3.1.2b,waves_properties,3.3.1a Wave Properties,Paper 1,waves,Polarisation,Can you explain the phenomenon of polarisation? Why can transverse waves be polarised but longitudinal waves cannot? Can you describe applications like polaroid sunglasses?,Explain polarisation phenomenon|Understand why only transverse waves polarise|Describe polarising filters|Explain applications of polarisation,Polarisation: restricting oscillation direction|Only transverse waves can be polarised|Polaroid sunglasses reduce glare|LCD screens use polarisation
,3.3.1.2c,waves_properties,3.3.1a Wave Properties,Paper 1,waves,EM wave properties,Do you know that all electromagnetic waves are transverse and travel at the speed of light (c) in a vacuum? Can you recall the order of the EM spectrum?,Know EM waves are transverse|State speed of EM waves in vacuum|Recall EM spectrum order|Compare wavelengths and frequencies,"All EM waves: c = 3×10⁸ m/s in vacuum|Radio → Micro → IR → Visible → UV → X-ray → γ-ray|Increasing frequency, decreasing wavelength|All are transverse waves"
,3.3.1.3a,stationary_waves,3.3.1b Stationary Waves,Paper 1,waves,Stationary wave formation,"Can you explain how a stationary (or standing) wave is formed by the superposition of two progressive waves with the same frequency, travelling in opposite directions?",Explain stationary wave formation|Describe wave superposition|Understand constructive/destructive interference|Compare with progressive waves,"Two waves: same frequency, opposite directions|Superposition creates stationary pattern|No energy transfer in stationary waves|Fixed pattern of nodes and antinodes"
,3.3.1.3b,stationary_waves,3.3.1b Stationary Waves,Paper 1,waves,Nodes and antinodes,Can you identify and define nodes (points of zero amplitude) and antinodes (points of maximum amplitude) on a stationary wave?,Define nodes and antinodes|Locate nodes and antinodes|Understand amplitude variation|Measure distances between nodes,Nodes: zero amplitude points|Antinodes: maximum amplitude points|Distance between adjacent nodes: λ/2|Distance between adjacent antinodes: λ/2
,3.3.1.3c,stationary_waves,3.3.1b Stationary Waves,Paper 1,waves,String harmonics,Can you describe the different modes of vibration (harmonics) for a stretched string? Can you use the formula f = (1/2L)√(T/μ) to find the frequency of the first harmonic?,Describe string harmonics|Apply string frequency formula|Calculate fundamental frequency|Understand harmonic series,"First harmonic: f₁ = (1/2L)√(T/μ)|Higher harmonics: f₂ = 2f₁, f₃ = 3f₁|T = tension, μ = mass per unit length|Guitar strings: different L, T, μ"
,3.3.2.1a,interference_patterns,3.3.2a Interference Patterns,Paper 1,waves,Coherence,Can you define coherence in terms of a constant phase difference and the same frequency? Why is it a necessary condition for observable interference?,Define coherence|Explain constant phase difference|Understand frequency requirement|Relate to observable interference,Coherent: constant phase difference|Same frequency required|Laser light is coherent|Necessary for stable interference patterns
,3.3.2.1b,interference_patterns,3.3.2a Interference Patterns,Paper 1,waves,Young's double slit,Can you describe Young's double-slit experiment and explain how the resulting interference pattern of bright and dark fringes is formed by constructive and destructive superposition?,Describe Young's double-slit setup|Explain interference pattern formation|Understand path difference concept|Relate to constructive/destructive interference,Two coherent sources from single slit|Path difference creates phase difference|Constructive: bright fringes|Destructive: dark fringes
,3.3.2.1c,interference_patterns,3.3.2a Interference Patterns,Paper 1,waves,Fringe spacing formula,"Can you use the formula w = λD/s to calculate the fringe spacing, wavelength, slit separation, or screen distance in a double-slit experiment?",Apply fringe spacing formula w = λD/s|Calculate fringe spacing|Find wavelength from measurements|Determine slit separation,w = fringe spacing (m)|λ = wavelength (m)|D = distance to screen (m)|s = slit separation (m)
,3.3.2.1d,interference_patterns,3.3.2a Interference Patterns,Paper 1,waves,White light interference,"Can you describe the appearance of the interference pattern when using white light, including the central white fringe and the spectra in the outer fringes?",Describe white light interference pattern|Explain central white fringe|Understand spectral fringes|Compare with monochromatic light,Central fringe: white (all wavelengths in phase)|Outer fringes: spectral colors|Different λ → different fringe spacing|Pattern becomes blurred further out
